,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_CAM
vision,-0.3472755541593824,0.2796836837149715,0.33042785035433403,0.21713616287832302,0.7688893806549247,0.6875542251325513,0.6612736980254731,0.7568372024720776,0.6546340238904059,0.562505445600344,1.0,0.6887116412360056,0.700929444521281,0.7147999288554818,0.6171782453173804,0.7655050293511434,0.7961465056528136,0.5613459108852185,0.4899106825408257,0.5317465897290669,0.7999914512018662,0.6489526236053447,-0.05392236215554864,-0.14310756195459964,-0.08095010904455917,-0.09032268157905966,-0.12497680845759457,-0.06201237713099549,0.3435565837260782,-0.2137434803618436,0.028817354998031737,-0.2774032914432664,0.21227041761065626
crossing,-0.43863526543675896,0.4128594494458431,0.46215027157636696,0.34160844159847253,0.619075412012053,0.4535578603291345,0.47172118132701507,0.5628198096461076,0.4614795123665759,0.35916819524469906,0.6887116412360056,1.0,0.6240174858958549,0.5683148245160092,0.5188916912276831,0.7894932523339389,0.7261838854482687,0.5935815958895434,0.5443132062822691,0.399636155380232,0.6596632372959506,0.45634409534179077,0.08642503408877307,-0.24253602154116208,0.06530097815152089,0.06596810786348102,0.05770980956881353,-0.09551597188842427,0.3543179780199899,-0.29919650695281563,0.02764706732391311,-0.3633550571484762,0.130712694290415
free_kick_accuracy,-0.34766766383009656,0.1994663438549345,0.2630776941904842,0.1319749487850733,0.6443087146594102,0.6428461540711959,0.6712345551944546,0.7792994178522148,0.6765052962787531,0.6419502354618702,0.700929444521281,0.6240174858958549,1.0,0.5025204093760128,0.447498941919833,0.7929329477424646,0.6236963380991143,0.4793050927300212,0.43830483788838304,0.34368569576588404,0.607447538408802,0.4769153737487881,-0.1306125172472935,-0.18959697890412056,-0.15441754749361178,-0.16304907413521869,-0.18724750933923964,-0.11563569942579105,0.24202409510567036,-0.22283962248761285,-0.04955472767305857,-0.2465101603548768,0.22183354927565635
short_passing,-0.16278706601375462,0.11084057812028018,0.13672671095360572,0.08108284518987159,0.4601417501498635,0.36981625137515023,0.504327318269823,0.49573346585390105,0.3799513111362832,0.31959446299137406,0.7147999288554818,0.5683148245160092,0.5025204093760128,1.0,0.8400100895693844,0.5604512015391084,0.6364460324705657,0.33330938934248894,0.2964567192544629,0.7505545555412828,0.8060493957585955,0.7472463248489415,0.3317589540071196,0.13845985957604,0.320989643957936,0.30200809523484407,0.2678083739272678,0.1503680428213624,0.41550669402867807,0.026234015361749304,0.3238366997017798,-0.1036412910597614,0.13965745391504011
long_passing,-0.14572998763015055,-0.02219810406228874,0.012193281531486987,-0.04867848057516278,0.25525515680796995,0.15562377998829757,0.35190732861772106,0.3522909526886982,0.18253316735285996,0.13307831229532402,0.6171782453173804,0.5188916912276831,0.447498941919833,0.8400100895693844,1.0,0.46302958620944945,0.4518400054196458,0.22297895599161877,0.23016554968815398,0.5836544610836577,0.5949830775159568,0.6234836270931275,0.5114720505120812,0.054489527047336374,0.4919551289732124,0.48434291676595614,0.4590730049855152,0.029697196829045182,0.37377384364709604,0.008387122245889831,0.3835857376091069,-0.10702816018870284,0.15180812433941335
curve,-0.40058449957366105,0.3606733755922782,0.41543960328571355,0.28853367411699554,0.7289244299442418,0.6549116309998468,0.6576047353651634,0.7496557175472346,0.6838333573526979,0.5738005350642852,0.7655050293511434,0.7894932523339389,0.7929329477424646,0.5604512015391084,0.46302958620944945,1.0,0.7676814434518313,0.5992916466608118,0.5284556769647166,0.4164916220280866,0.7166683553377665,0.5435511886678984,-0.11477381491333566,-0.21239431514552984,-0.1356729712864473,-0.14444034980620193,-0.16666861542691264,-0.08428159682649485,0.3052483873585238,-0.2687071131203875,-0.04026129266304172,-0.3074323369431281,0.18865829571384
dribbling,-0.40599327184494666,0.5107148673912373,0.5516318298253576,0.4387992814129524,0.8079566555798694,0.721877363161117,0.6472803425320546,0.7360711556872969,0.6669074611343525,0.5574872179641246,0.7961465056528136,0.7261838854482687,0.6236963380991143,0.6364460324705657,0.4518400054196458,0.7676814434518313,1.0,0.6913994250043834,0.5749564368561392,0.5035930310738861,0.8790016385458872,0.5777811809068397,-0.19749250520782288,-0.18679097548720386,-0.22002740323864045,-0.22017277073083596,-0.24219054132073692,-0.016038609981567087,0.32812668482055884,-0.2777041162459491,-0.07839427683746442,-0.3334280864524084,0.16559641263873223
agility,-0.5973074009307412,0.6971822832087244,0.767191573816899,0.5873792693330393,0.592509553144192,0.5237656472619796,0.37613811258618546,0.524103446265953,0.4793364664617637,0.35927338048385066,0.5613459108852185,0.5935815958895434,0.4793050927300212,0.33330938934248894,0.22297895599161877,0.5992916466608118,0.6913994250043834,1.0,0.7978390649419024,0.20553112467656484,0.5557957503972801,0.2744905927455009,-0.24218610891922526,-0.4400589905288808,-0.26761867988613197,-0.26521441827438036,-0.26776409057635003,-0.179722324321961,0.2935620688834406,-0.5071006866876208,-0.22725663731519136,-0.5605955108381496,0.15667506932825828
balance,-0.6996726154628927,0.5569349640118518,0.6474499664852231,0.44076785546271435,0.49013571726105903,0.4124394611901334,0.2728047672374979,0.4276850355601433,0.381712420465644,0.2829808085277223,0.4899106825408257,0.5443132062822691,0.43830483788838304,0.2964567192544629,0.23016554968815398,0.5284556769647166,0.5749564368561392,0.7978390649419024,1.0,0.1511134090964722,0.4622114661829823,0.22215706368987706,-0.1524739988667182,-0.4798312006860814,-0.18009053658135754,-0.16907548418849405,-0.1678365767580375,-0.30138423997522096,0.24163910784589523,-0.5767028251792654,-0.19032286889915165,-0.6478287177091525,0.1597322733135246
reactions,-0.011065139153785854,0.1130701011187608,0.10082761528943394,0.11436626525622674,0.4075436890868512,0.3347351135955489,0.47667131795999584,0.4012226587295152,0.360712694427344,0.30700517515128223,0.5317465897290669,0.399636155380232,0.34368569576588404,0.7505545555412828,0.5836544610836577,0.4164916220280866,0.5035930310738861,0.20553112467656484,0.1511134090964722,1.0,0.6855067271585334,0.7776251485138794,0.28972893913984404,0.38623896913233885,0.2947847616286592,0.25234308666398186,0.21741379536057687,0.40736861202605784,0.43364696133820735,0.24644278085514182,0.4245139335827497,0.06373905745035775,0.01265052386387832
