,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_CDM
vision,-0.37742767217620543,0.27962288137546454,0.3303942432596907,0.2170729402441029,0.7688049656355344,0.6873499968884973,0.6613736220898666,0.7569036819009974,0.6545471948457755,0.5622991654404035,1.0,0.6888122744797364,0.7010384337721802,0.7149570042641396,0.6175799202960326,0.765392791931227,0.79632901845865,0.5611945074099133,0.4900339708478103,0.5320260393118521,0.8000813353060509,0.6492312119157032,-0.05342928562326901,-0.14318907046404872,-0.08038998314032397,-0.08989067439319696,-0.12452411609147988,-0.06229361344637402,0.34330611080472756,-0.21392404215936772,0.028674921855600007,-0.2779665026475663,0.12032624440345534
crossing,-0.47581450978090045,0.4125604771882695,0.46199724768457817,0.3412294537486447,0.6188217546902784,0.45315211604386246,0.47145845223412625,0.5622537660982498,0.4609915481328457,0.35872534214303226,0.6888122744797364,1.0,0.6237190910614977,0.5685853501904287,0.5195994319241644,0.7895325394220545,0.7260101702524264,0.5935079885806995,0.5439172775373403,0.40018348956056327,0.6593800990439563,0.45687816878216525,0.08727626198425656,-0.2420774625670435,0.06618878159260998,0.06679180305987793,0.058551911931848166,-0.0952240072953459,0.35434074840609164,-0.29915298114983674,0.028082199941313172,-0.36351769412950324,-0.019498466654449566
free_kick_accuracy,-0.37704569696245116,0.19896627746327486,0.26269873869684673,0.13142136712945107,0.6442316988382106,0.642781093175209,0.6710262545902608,0.7792224066449918,0.6763722045410322,0.6417428907090768,0.7010384337721802,0.6237190910614977,1.0,0.5025990483353047,0.4478563978363383,0.7929808880704323,0.6234843806148612,0.47919212439724357,0.437971466182722,0.3438010970199439,0.6071404048393996,0.4770888416595748,-0.13016356202300983,-0.18954374379238795,-0.15395322724069976,-0.16265911376919948,-0.1868591599543552,-0.11582099857964241,0.2419077116366649,-0.2231285610161893,-0.04969514572627346,-0.24668482857665336,0.045068514769891856
short_passing,-0.17536769069138963,0.11074862399467673,0.13661812915308158,0.08100708559765464,0.4603436411887331,0.36992670197479083,0.5043323310045243,0.49603251893694744,0.3800959684918182,0.3195942456768433,0.7149570042641396,0.5685853501904287,0.5025990483353047,1.0,0.8400954811889896,0.5605695689167535,0.6365922048721973,0.33328111757501544,0.29654784860013284,0.7506329869228296,0.80626445249634,0.7475077168764387,0.3319844492082285,0.13841692185375412,0.3212719539653706,0.30221285611498866,0.26802909194779845,0.1502611579087158,0.4154701222034928,0.02608782116548391,0.3238494620871526,-0.1037642384998614,0.16234637610251018
long_passing,-0.15722162923680189,-0.022090549061119354,0.012224127586149875,-0.04852978161146522,0.25578350696720964,0.15602181581734656,0.3520892807169454,0.3530216851197721,0.1830373156127473,0.1332451136965225,0.6175799202960326,0.5195994319241644,0.4478563978363383,0.8400954811889896,1.0,0.46334428934847327,0.45223415322057553,0.22314156652025358,0.2307081543945126,0.5835515909769579,0.5954339247748802,0.6235176182791318,0.5114168855221308,0.0540122014515853,0.49193550274951964,0.4842574946649574,0.4589969105252721,0.029262932423975152,0.3738324000761393,0.007882412988135986,0.38343316589576304,-0.10729853585454448,0.2178646720033795
curve,-0.43821594777987866,0.3606085460934849,0.41539823972618684,0.2884699044615928,0.7288108519400194,0.6547172946876209,0.6576267455564591,0.7496336541586661,0.6838284030227239,0.5735389440870174,0.765392791931227,0.7895325394220545,0.7929808880704323,0.5605695689167535,0.46334428934847327,1.0,0.767718772613542,0.599116664366716,0.528548313179396,0.4166847933700558,0.7165478691525159,0.5436376703086929,-0.11441062239075211,-0.21249560338950457,-0.13526112481755154,-0.14413698425275792,-0.16635562322099712,-0.08454688283403418,0.3049789848693366,-0.26905428082894156,-0.04043772762814305,-0.30801909911632397,-0.003654968588831375
dribbling,-0.4406748569930783,0.5104775492496391,0.5514357805361777,0.4385468980204089,0.8080228741137986,0.7219494551850478,0.6471334874108988,0.7360339805870454,0.6668777878932587,0.55741291420618,0.79632901845865,0.7260101702524264,0.6234843806148612,0.6365922048721973,0.45223415322057553,0.767718772613542,1.0,0.6912470410686744,0.5745680585140136,0.5039513197973543,0.8789228611911653,0.5783778199113316,-0.19712343664260543,-0.18656400771081422,-0.2196271755202109,-0.21979582397888334,-0.2418203382574891,-0.015927842862927113,0.328044658993061,-0.2777706878084702,-0.07833212444228152,-0.33351948967822714,0.021998822534687986
agility,-0.6562755352422321,0.6972628196535624,0.7672512842554069,0.5874653643465226,0.5922703027799041,0.5235994697377141,0.3759564872745008,0.5239859767779,0.4792004490188226,0.35909845741895396,0.5611945074099133,0.5935079885806995,0.47919212439724357,0.33328111757501544,0.22314156652025358,0.599116664366716,0.6912470410686744,1.0,0.7979587645368749,0.2056006705913688,0.5555550564272794,0.27469566339671164,-0.2419388520157871,-0.44032921612571974,-0.2673194013961739,-0.2649579435486111,-0.26748513746136815,-0.1800013614357838,0.29333307241477696,-0.5074525849866073,-0.22751213095954848,-0.5610813354735181,-0.04373340716941282
balance,-0.7694028172749934,0.5566832370015925,0.6473686915195803,0.44039208965467486,0.4897580307486229,0.41218599295880093,0.27234873050807673,0.427151196365557,0.38118648750347167,0.28276890489657525,0.4900339708478103,0.5439172775373403,0.437971466182722,0.29654784860013284,0.2307081543945126,0.528548313179396,0.5745680585140136,0.7979587645368749,1.0,0.1514669213544678,0.4617983118849572,0.22291617876233533,-0.15180153222448264,-0.47972595248401684,-0.17937814993286874,-0.16836352874620922,-0.16709402609537546,-0.301395754555956,0.2416572558192945,-0.5768650845584435,-0.19016061470477044,-0.6480618546842073,-0.010562020607036605
reactions,-0.016608028359081782,0.11307331405042176,0.10073516453427972,0.1144340382891792,0.408025712786582,0.33510369376552385,0.476752579745733,0.40183816718827897,0.3611345647946975,0.307075144617669,0.5320260393118521,0.40018348956056327,0.3438010970199439,0.7506329869228296,0.5835515909769579,0.4166847933700558,0.5039513197973543,0.2056006705913688,0.1514669213544678,1.0,0.6859206951630207,0.7776549126021819,0.28974692853559647,0.38585516557558386,0.2948698326329381,0.25229848228553525,0.21738117195130682,0.40696725844446535,0.4336512709101528,0.2459084670186979,0.4241236111949027,0.06342456658670426,0.034905692258541246
