,height_in_cm,pac,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,weight_in_kg,is_RB
vision,-0.3774276721762076,0.2796228813754627,0.3303942432596917,0.21707294024410193,0.7688049656355302,0.6873499968884981,0.6613736220898657,0.756903681900994,0.6545471948457733,0.5622991654403998,1.0,0.6888122744797364,0.7010384337721776,0.7149570042641402,0.6175799202960333,0.7653927919312256,0.7963290184586509,0.5611945074099116,0.4900339708478118,0.5320260393118503,0.8000813353060471,0.6492312119157013,-0.05342928562326898,-0.14318907046404833,-0.0803899831403236,-0.0898906743931969,-0.12452411609147962,-0.06229361344637421,0.3433061108047283,-0.2139240421593675,0.02867492185560003,-0.2779665026475655,-0.03663917403391089
crossing,-0.47581450978089845,0.41256047718826877,0.46199724768457967,0.34122945374864444,0.6188217546902799,0.45315211604386313,0.4714584522341254,0.5622537660982494,0.4609915481328457,0.35872534214303176,0.6888122744797364,1.0,0.6237190910614961,0.5685853501904284,0.5195994319241652,0.7895325394220571,0.7260101702524266,0.5935079885806984,0.543917277537342,0.400183489560564,0.6593800990439543,0.45687816878216553,0.08727626198425616,-0.24207746256704316,0.0661887815926098,0.06679180305987775,0.05855191193184827,-0.09522400729534582,0.35434074840609214,-0.2991529811498361,0.02808219994131334,-0.36351769412950463,0.23273323322112818
free_kick_accuracy,-0.37704569696245205,0.19896627746327497,0.26269873869684685,0.13142136712945157,0.6442316988382143,0.6427810931752118,0.6710262545902571,0.7792224066449924,0.676372204541032,0.6417428907090752,0.7010384337721776,0.6237190910614961,1.0,0.5025990483353026,0.44785639783634146,0.7929808880704305,0.6234843806148617,0.47919212439724557,0.4379714661827228,0.34380109701994466,0.6071404048394038,0.47708884165957627,-0.13016356202300955,-0.1895437437923878,-0.15395322724069965,-0.1626591137692002,-0.1868591599543552,-0.11582099857964294,0.24190771163666508,-0.22312856101618878,-0.04969514572627362,-0.24668482857665344,-0.08197760404537405
short_passing,-0.17536769069138677,0.11074862399467619,0.13661812915308136,0.08100708559765352,0.460343641188736,0.3699267019747888,0.5043323310045258,0.4960325189369472,0.38009596849182,0.31959424567684214,0.7149570042641402,0.5685853501904284,0.5025990483353026,1.0,0.840095481188989,0.5605695689167552,0.6365922048721963,0.33328111757501655,0.2965478486001317,0.7506329869228328,0.8062644524963478,0.7475077168764375,0.3319844492082289,0.13841692185375512,0.3212719539653717,0.3022128561149882,0.2680290919477986,0.15026115790871672,0.4154701222034931,0.026087821165484575,0.3238494620871539,-0.1037642384998613,-0.030940707206420056
long_passing,-0.15722162923680014,-0.022090549061119385,0.012224127586149873,-0.04852978161146539,0.25578350696721136,0.15602181581734567,0.35208928071694473,0.3530216851197718,0.18303731561274827,0.13324511369652206,0.6175799202960333,0.5195994319241652,0.44785639783634146,0.840095481188989,1.0,0.46334428934847427,0.45223415322057714,0.2231415665202537,0.23070815439451264,0.5835515909769613,0.5954339247748826,0.6235176182791321,0.5114168855221348,0.05401220145158603,0.49193550274952097,0.48425749466495965,0.45899691052527164,0.029262932423975554,0.3738324000761426,0.0078824129881361,0.3834331658957632,-0.10729853585454384,-0.009910121778390159
curve,-0.43821594777987766,0.36060854609348486,0.41539823972618917,0.2884699044615937,0.7288108519400156,0.6547172946876221,0.6576267455564574,0.7496336541586656,0.6838284030227206,0.5735389440870182,0.7653927919312256,0.7895325394220571,0.7929808880704305,0.5605695689167552,0.46334428934847427,1.0,0.7677187726135452,0.5991166643667155,0.5285483131793975,0.41668479337005654,0.7165478691525149,0.5436376703086921,-0.114410622390752,-0.21249560338950438,-0.13526112481755156,-0.14413698425275698,-0.16635562322099662,-0.08454688283403429,0.3049789848693367,-0.26905428082894145,-0.040437727628142905,-0.30801909911632497,0.06346632760299263
dribbling,-0.4406748569930777,0.5104775492496391,0.5514357805361799,0.438546898020408,0.8080228741138016,0.7219494551850459,0.6471334874108975,0.7360339805870479,0.6668777878932547,0.5574129142061788,0.7963290184586509,0.7260101702524266,0.6234843806148617,0.6365922048721963,0.45223415322057714,0.7677187726135452,1.0,0.6912470410686729,0.5745680585140135,0.5039513197973515,0.8789228611911687,0.57837781991133,-0.1971234366426062,-0.18656400771081355,-0.21962717552021055,-0.21979582397888295,-0.2418203382574905,-0.01592784286292752,0.3280446589930611,-0.277770687808471,-0.07833212444228134,-0.3335194896782268,0.047371005228499886
agility,-0.6562755352422324,0.6972628196535595,0.7672512842554079,0.5874653643465207,0.5922703027799003,0.5235994697377133,0.37595648727449993,0.5239859767779017,0.4792004490188223,0.3590984574189506,0.5611945074099116,0.5935079885806984,0.47919212439724557,0.33328111757501655,0.2231415665202537,0.5991166643667155,0.6912470410686729,1.0,0.7979587645368773,0.20560067059136947,0.5555550564272819,0.2746956633967109,-0.24193885201578708,-0.4403292161257207,-0.2673194013961739,-0.2649579435486108,-0.2674851374613682,-0.18000136143578335,0.2933330724147763,-0.5074525849866097,-0.22751213095954811,-0.5610813354735185,0.08469324980447543
balance,-0.7694028172749936,0.5566832370015923,0.6473686915195787,0.4403920896546747,0.489758030748625,0.41218599295880015,0.27234873050807634,0.4271511963655568,0.3811864875034744,0.2827689048965758,0.4900339708478118,0.543917277537342,0.4379714661827228,0.2965478486001317,0.23070815439451264,0.5285483131793975,0.5745680585140135,0.7979587645368773,1.0,0.15146692135446785,0.46179831188495907,0.22291617876233583,-0.15180153222448228,-0.47972595248401606,-0.1793781499328688,-0.16836352874620927,-0.16709402609537488,-0.3013957545559558,0.24165725581929465,-0.5768650845584433,-0.19016061470477022,-0.6480618546842086,0.0980149076230611
reactions,-0.016608028359078087,0.11307331405042159,0.10073516453427993,0.11443403828917895,0.4080257127865822,0.3351036937655231,0.4767525797457329,0.40183816718827897,0.36113456479469663,0.30707514461766877,0.5320260393118503,0.400183489560564,0.34380109701994466,0.7506329869228328,0.5835515909769613,0.41668479337005654,0.5039513197973515,0.20560067059136947,0.15146692135446785,1.0,0.6859206951630215,0.777654912602178,0.2897469285355964,0.385855165575586,0.29486983263293903,0.2522984822855355,0.21738117195130774,0.40696725844446524,0.4336512709101504,0.2459084670186976,0.42412361119490344,0.06342456658670503,-0.027669410766823506
