player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
443710,CDM,78,34.1,21.2,24.7,78.1,79.9,44.7,56.1,53.6,41.0,CDM,79.9
443726,ST,61,72.3,54.8,53.8,24.1,0.0,51.8,0.0,2.9,15.9,ST,72.3
443855,CAM,67,31.5,66.4,67.7,72.4,55.4,73.3,54.0,54.2,10.1,CAM,73.3
444208,ST,69,73.4,73.6,71.7,36.6,7.0,70.1,6.0,11.4,2.1,LW,73.6
444211,CM,73,24.7,35.0,34.3,76.7,73.5,65.6,52.2,51.0,18.8,CM,76.7
445126,LB,72,21.3,50.2,48.1,60.8,63.9,52.3,78.2,75.1,19.4,LB,78.2
445939,ST,79,74.9,77.8,75.3,47.5,17.9,78.6,7.4,12.0,11.1,CAM,78.6
446093,CB,70,59.0,15.7,20.0,61.5,74.0,26.1,66.9,66.5,74.9,CB,74.9
446491,CAM,67,75.3,32.1,30.4,66.3,38.3,69.2,16.5,17.5,30.9,ST,75.3
447052,CDM,69,65.6,16.2,16.9,73.4,74.8,52.6,51.5,51.0,70.7,CDM,74.8
447066,CAM,62,41.1,58.2,58.6,65.6,39.5,70.4,28.8,29.6,10.3,CAM,70.4
447216,CAM,63,58.2,57.2,57.5,62.5,34.8,71.7,30.5,33.3,9.9,CAM,71.7
447661,CM,83,37.2,55.7,53.6,84.1,75.5,73.6,66.1,63.4,23.6,CM,84.1
447730,ST,65,73.1,55.7,54.8,24.6,5.3,51.2,3.9,8.8,22.5,ST,73.1
447801,RB,63,18.3,53.9,61.8,45.4,43.5,24.9,66.0,68.5,14.3,RB,68.5
447995,ST,71,77.7,55.6,53.0,39.0,14.8,62.9,5.2,10.4,24.5,ST,77.7
448177,ST,71,70.3,75.7,74.3,37.7,7.6,66.9,13.1,17.8,6.0,LW,75.7
448258,RB,75,48.1,47.6,46.5,44.0,59.8,23.6,75.5,77.9,51.8,RB,77.9
448264,LB,69,20.2,32.2,33.3,52.3,56.7,26.0,71.9,73.6,18.6,RB,73.6
448471,CB,66,61.6,10.2,9.9,40.5,51.3,28.9,37.3,37.8,74.5,CB,74.5
448628,LB,80,32.0,33.3,34.4,54.3,65.2,24.5,83.5,81.9,31.9,LB,83.5
448672,CAM,65,65.1,74.0,72.0,46.4,17.2,68.7,19.7,24.3,8.5,LW,74.0
448844,LB,73,35.2,43.7,44.8,32.3,47.4,18.8,76.4,77.5,30.4,RB,77.5
448883,CB,67,48.9,7.7,14.2,54.6,71.9,29.3,55.5,54.1,73.6,CB,73.6
