player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
807689,ST,72,79.4,71.0,68.4,28.0,8.4,67.8,12.0,15.6,12.4,ST,79.4
817180,RW,68,42.6,64.8,67.6,64.6,40.2,74.3,53.1,53.6,11.5,CAM,74.3
855014,CB,69,10.1,23.5,27.0,27.1,57.5,18.8,62.2,62.9,77.2,CB,77.2
923758,LB,62,12.3,34.9,38.5,46.2,56.5,36.8,71.7,73.6,47.1,RB,73.6
13217,RB,70,9.3,45.9,50.7,67.5,66.1,48.9,75.7,74.8,47.1,LB,75.7
69646,RB,73,9.3,46.8,50.5,68.8,70.5,54.7,75.4,74.8,41.5,LB,75.4
107010,CB,81,6.0,17.9,22.0,56.8,78.8,29.9,61.9,62.3,79.0,CB,79.0
109217,RW,79,32.4,72.2,74.3,68.3,42.3,78.5,45.1,45.5,8.6,CAM,78.5
119150,LW,74,21.9,66.5,69.3,70.5,50.4,75.8,60.7,59.3,11.3,CAM,75.8
182923,CB,74,8.7,31.8,35.1,68.5,77.2,45.5,64.9,62.2,57.3,CDM,77.2
197170,ST,70,68.1,75.9,75.5,48.0,18.0,75.6,19.1,21.3,11.1,LW,75.9
289075,RW,76,75.2,74.2,73.8,54.0,21.5,77.8,27.1,28.6,8.2,CAM,77.8
344869,ST,80,71.6,71.9,67.8,40.2,25.6,75.8,8.2,12.6,15.3,CAM,75.8
395234,CDM,73,9.7,31.4,35.0,67.2,76.2,44.2,62.6,62.2,55.9,CDM,76.2
405399,ST,71,79.5,70.4,67.2,23.0,8.2,65.7,15.1,19.1,16.1,ST,79.5
417228,ST,74,78.7,65.4,62.3,36.0,15.6,68.0,8.4,12.2,12.4,ST,78.7
422281,CAM,74,69.6,75.5,75.0,52.3,19.4,78.5,19.0,21.1,8.4,CAM,78.5
674241,CM,67,12.4,38.0,41.5,73.3,73.3,55.3,63.4,63.5,37.4,CM,73.3
818252,RB,73,9.0,51.2,55.9,62.7,62.3,55.5,75.9,76.2,37.8,RB,76.2
116088,LW,75,47.1,70.5,70.8,58.4,36.8,75.0,43.1,44.3,11.8,CAM,75.0
132529,LB,68,11.8,44.7,49.0,51.7,57.1,43.2,75.1,74.6,37.9,LB,75.1
143798,RB,76,8.9,37.9,41.2,65.3,72.2,44.4,76.9,77.0,42.1,RB,77.0
160241,CB,74,8.7,36.0,40.6,57.2,73.2,39.5,74.6,75.3,67.2,RB,75.3
161072,LW,71,33.9,72.4,72.9,62.4,37.1,77.3,37.8,37.8,9.5,CAM,77.3
203123,ST,73,76.7,63.5,59.3,29.6,20.5,65.5,7.1,11.9,20.2,ST,76.7
234029,CM,76,9.7,38.5,40.8,77.2,75.0,57.7,62.3,62.4,31.4,CM,77.2
237164,ST,76,69.1,76.7,76.4,45.1,22.0,75.5,35.2,38.3,8.9,LW,76.7
278459,CB,67,11.1,23.5,26.3,44.8,70.3,25.6,66.7,66.6,73.4,CB,73.4
296188,LB,67,11.3,40.7,43.6,57.7,68.3,43.0,73.3,73.1,54.9,LB,73.3
